"id","movie_name","actors","directors","duration","genre"
44,"Broken","Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham","Alan White","97 minutes","Drama, Foreign, Horror, Thriller"
63,"Talladega Nights: The Ballad of Ricky Bobby","Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon","Adam McKay","108 minutes","Action, Comedy"
84,"The Bridge","","Eric Steel","93 minutes","Documentary"
104,"The Host","Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson","Bong Joon-ho","119 minutes","Comedy, Drama, Foreign, Horror"
131,"Rush Hour 3","Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski","Brett Ratner","91 minutes","Action, Adventure, Comedy, Crime, Thriller"
133,"Fay Grim","Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan","","118 minutes","Action, Comedy, Drama, Thriller"
146,"Live Free or Die Hard","","","128 minutes","Action, Thriller"
154,"Mission: Impossible III","Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan","","126 minutes","Action, Adventure, Thriller"
155,"The Promise","Dong-Gun Jang,Hiroyuki Sanada,Cecilia Cheung,Nicholas Tse,Liu Ye","","98 minutes","Action, Drama, Fantasy, Foreign, Romance, Science Fiction, Thriller"
158,"Poseidon","Josh Lucas,Kurt Russell,Jacinda Barrett,Richard Dreyfuss,Jimmy Bennett,Emmy Rossum,Andre Braugher","Wolfgang Petersen","99 minutes","Action, Adventure, Disaster, Thriller"
161,"Hate Crime","Seth Peterson,Bruce Davison,Chad Donella,Cindy Pickett,Brian J. Smith,Susan Blakely,Farah White,Giancarlo Esposito","","104 minutes","Drama, Thriller"
190,"Ice Age: The Meltdown","Ray Romano,Denis Leary,Queen Latifah,Josh Peck,Jay Leno,Seann William Scott","Carlos Saldanha","91 minutes","Adventure, Animation, Family"
268,"King Kong","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke","Peter Jackson","187 minutes","Action, Adventure, Drama, Foreign, Horror, Thriller"
324,"16 Blocks","Bruce Willis,Mos Def,David Morse,Tig Fong,Cylk Cozart,Michael F. Keenan,Sasha Roiz","Richard Donner","105 minutes","Action, Adventure, Crime, Thriller"
326,"Night Watch","Konstantin Khabensky,Vladimir Menshov,Viktor Verzhbitsky,Mariya Poroshina,Gosha Kytsenko,Dima Martynov,Anna Dubrovskaya,Aleksei Chadov,Aleksander Samojlenko","Timur Bekmambetov","114 minutes","Action, Adventure, Drama, Fantasy, Foreign, Horror, Science Fiction, Thriller"
327,"Running Scared","Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz","","122 minutes","Action, Adventure, Crime, Drama, Thriller"
338,"Derailed","Clive Owen,Jennifer Aniston,Melissa George,Vincent Cassel,RZA,Xzibit","Mikael Hafstrom","108 minutes","Drama, Thriller"
361,"No Escape","Owen Wilson,Lake Bell,Pierce Brosnan,Sterling Jerins,Spencer Garrett","John Erick Dowdle","103 minutes","Thriller"
381,"Dragon Blade","Jackie Chan,John Cusack,Adrien Brody,Sharni Vinson,Max Huang,Si Won Choi,Peng Lin","Daniel Lee","127 minutes","Action, Adventure, Drama, History"
387,"Prince","Ayoub Elasri,Oussama Addi,Achraf Meziani,Elsie de Brauw,Sigrid ten Napel,Jorik Scholten","Sam de Jong","78 minutes","Comedy, Drama"
413,"Breathe","JosÃÂ©phine Japy,Lou de LaÃÂ¢ge,Isabelle CarrÃÂ©,Roxane Duran","MÃÂ©lanie Laurent","91 minutes","Drama"
416,"Black Mass","Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Dakota Johnson,Kevin Bacon,Jesse Plemons,Corey Stoll,Peter Sarsgaard,Juno Temple,Adam Scott,Julianne Nicholson,Rory Cochrane,Jamie Donnelly","Scott Cooper","122 minutes","Crime, Drama"
429,"Captive","Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell","Jerry Jameson","97 minutes","Crime, Drama, Thriller"
441,"Big Game","Samuel L. Jackson,Onni Tommila,Ted Levine,Victor Garber,Felicity Huffman","Jalmari Helander","110 minutes","Action, Adventure"
455,"Pixels","Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Sean Bean,Jane Krakowski,Brian Cox","Chris Columbus","105 minutes","Action, Comedy, Science Fiction"
473,"A Hard Day","Lee Sun-Kyun,Jo Jin-woong,Jeong Man-sik,Kim Dong-yeong","Kim Seong-Hun","111 minutes","Action, Crime, Thriller"
499,"Fantastic Four","Miles Teller,Kate Mara,Jamie Bell,Michael B. Jordan,Toby Kebbell,Tim Blake Nelson,Reg E. Cathey","Josh Trank","100 minutes","Action, Adventure, Science Fiction"
503,"The Young and Prodigious T.S. Spivet","Kyle Catlett,Helena Bonham-Carter,Judy Davis,Callum Keith Rennie,Niamh Wilson,Jakob Davies,Rick Mercer,Robert Maillet,Julian Richings,Dominique Pinon","Jean-Pierre Jeunet","105 minutes","Adventure, Drama, Family"
543,"Skin Trade","Ron Perlman,Tony Jaa,Dolph Lundgren,Celina Jade,Michael Jai White,Peter Weller","Ekachai Uekrongtham","96 minutes","Action, Crime, Thriller"
551,"Police Story: Lockdown","Jackie Chan,Liu Ye,Jing Tian","Ding Sheng","110 minutes","Action, Crime, Drama, Thriller"
582,"Survivor","Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy","James McTeigue","96 minutes","Action, Thriller"
586,"Blind","Ellen Dorrit Petersen,Vera Vitali,Henrik Rafaelsen,Marius Kolbenstvedt","Eskil Vogt","96 minutes","Drama"
593,"Spy","Melissa McCarthy,Jude Law,Jason Statham,Rose Byrne,Miranda Hart,Allison Janney,Bobby Cannavale,50 Cent,Morena Baccarin,Will Yun Lee","Paul Feig","120 minutes","Action, Comedy"
595,"The Stranger","Lorenza Izzo,Ariel Levy,Aaron Burns,Cristobal Tapia Montt,Luis Gnecco,Sally Rose","Guillermo Amoedo","93 minutes","Drama, Horror, Mystery, Thriller"
625,"Slow West","Michael Fassbender,Ben Mendelsohn,Kodi Smit-McPhee,Caren Pistorius,Rory McCann","John Maclean","84 minutes","Action, Thriller, Western"
626,"Animals","David Dastmalchian,Kim Shaw,John Heard,John Hoogenakker,Shon McGregory,Ilyssa Fradin","Collin Schiffli","90 minutes","Drama"
645,"The Gunman","Sean Penn,Javier Bardem,Ray Winstone,Jasmine Trinca,Peter FranzÃÂ©n","Pierre Morel","115 minutes","Action, Crime, Drama, Thriller"
650,"Everly","Salma Hayek,Jennifer Blanc,Hiroyuki Watanabe,Togo Igawa,Caroline Chikezie,Gabriella Wright,Akie Kotabe","Joe Lynch","92 minutes","Action, Thriller"
652,"'71","Jack O'Connell,Paul Anderson,Sean Harris,Sam Reid,Sam Hazeldine,Charlie Murphy,David Wilmot,Killian Scott","Yann Demange","99 minutes","Action, Drama, Thriller, War"
663,"Kidnapping Mr. Heineken","Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel","Daniel Alfredson","","Action, Crime, Drama, Thriller"
666,"The Wrecking Crew","Lou Adler,Herb Alpert,Hal Blaine,Sonny Bono,James Burton,Glen Campbell,Al Casey,Dick Clark,Sam Cooke,Sammy Davis Jr.,The Beach Boys","Denny Tedesco","101 minutes","Documentary"
672,"Run All Night","Liam Neeson,Joel Kinnaman,Ed Harris,GÃÂ©nesis RodrÃÂ­guez,Vincent D'Onofrio,Common,Boyd Holbrook,Holt McCallany","Jaume Collet-Serra","114 minutes","Action, Crime, Drama, Mystery, Thriller"
705,"Last Knights","Clive Owen,Morgan Freeman,Aksel Hennie","Kazuaki Kiriya","115 minutes","Action, Adventure"
713,"Kill Me Three Times","Simon Pegg,Teresa Palmer,Luke Hemsworth,Sullivan Stapleton,Alice Braga,Callan Mulvey","Kriv Stenders","90 minutes","Thriller"
719,"The Squeeze","Jeremy Sumpter,Jason Dohring,Katherine LaNasa,Michael Nouri,Christopher McDonald","Terry Jastrow","95 minutes","Comedy, Drama"
720,"Roar","Tippi Hedren,Melanie Griffith,Jerry Marshall,Kyalo Mativo,Rick Glassey,Steve Miller,Noel Marshall","Noel Marshall","102 minutes","Adventure, Thriller"
721,"The Dead Lands","James Rolleston,Lawrence Makoare,Te Kohe Tuhaka,Xavier Horan","Toa Fraser","107 minutes","Action"
742,"Taken 3","Liam Neeson,Famke Janssen,Maggie Grace,Forest Whitaker,Dougray Scott","Oliver Megaton","109 minutes","Action, Crime, Thriller"
745,"A Most Violent Year","Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Catalina Sandino Moreno","J.C. Chandor","125 minutes","Action, Crime, Drama, Thriller"
747,"Blackhat","Chris Hemsworth,Viola Davis,Tang Wei,Leehom Wang,Manny Montana,William Mapother","Michael Mann","135 minutes","Action, Crime, Thriller"
751,"Vice","Ambyr Childers,Bruce Willis,Thomas Jane,Bryan Greenberg","Brian A Miller","96 minutes","Action, Adventure, Science Fiction"
759,"Gangs of Wasseypur","Manoj Bajpai,Tigmanshu Dhulia,Nawazuddin Siddiqui,Richa Chadda","Anurag Kashyap","320 minutes","Action, Crime, Thriller"
772,"Mortdecai","Johnny Depp,Olivia Munn,Gwyneth Paltrow,Ewan McGregor,Jeff Goldblum,Paul Bettany","David Koepp","106 minutes","Adventure, Comedy"
773,"Son of a Gun","Ewan McGregor,Brenton Thwaites,Alicia Vikander,Matthew Nable,Damon Herriman","Julius Avery","108 minutes","Action, Crime, Drama"
780,"Wild Card","Jason Statham,SofÃÂ­a Vergara,Angela Kerecz,Stanley Tucci,Milo Ventimiglia,Anne Heche,Michael Angarano,Jason Alexander","Simon West","92 minutes","Crime, Drama, Thriller"
786,"Outcast","Nicolas Cage,Hayden Christensen,Liu Yifei,Andy On,Fernando Chien","Nick Powell","98 minutes","Action, Adventure"
790,"Seventh Son","Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander,Kit Harington,Djimon Hounsou,Olivia Williams","Sergey Bodrov","102 minutes","Adventure, Family, Fantasy"
835,"V/H/S: Viral","Justin Welborn,Emmy Argo,Gustavo SalmerÃÂ³n,Emilia Ares Zoryan","Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo","82 minutes","Horror, Thriller"
859,"Happy New Year","Shahrukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani,Sonu Sood","Farah Khan","180 minutes","Action, Comedy, Drama, Romance"
860,"Revenge of the Green Dragons","Justin Chon,Kevin Wu,Harry Shum Jr.,Ray Liotta","Andrew Lau Wai-Keung,Andrew Loo","94 minutes","Action, Crime, Drama"
907,"Open Windows","Elijah Wood,Sasha Grey,Neil Maskell,Nacho Vigalondo,Scott Weinberg","Nacho Vigalondo","100 minutes","Action, Crime, Suspense"
917,"Wolves","Jason Momoa,Lucas Till,John Pyper-Ferguson,Stephen McHattie,Merritt Patterson","David Hayter","90 minutes","Action, Horror"
933,"The Drop","Tom Hardy,Noomi Rapace,James Gandolfini,John Ortiz,Ann Dowd","MichaÃÂ«l R. Roskam","106 minutes","Crime, Drama"
957,"Young Ones","Nicholas Hoult,Elle Fanning,Michael Shannon,Kodi Smit-McPhee","Jake Paltrow","100 minutes","Action, Drama, Science Fiction"
983,"Left Behind","Nicolas Cage,Lea Thompson,Chad Michael Murray,Nicky Whelan,Jordin Sparks,Martin Klebba,Cassi Thompson","Vic Armstrong","105 minutes","Action, Science Fiction"
1009,"Falcon Rising","Michael Jai White,Neal McDonough,Laila Ali,Lateef Crowder,Hazuki Kato","Ernie Barbarash","103 minutes","Action, Drama"
1019,"Hercules","Dwayne Johnson,John Hurt,Ian McShane,Rufus Sewell,Aksel Hennie,Ingrid BolsÃÂ¸ Berdal,Joseph Fiennes","Brett Ratner","98 minutes","Action, Adventure"
1033,"Rage","Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare","Paco Cabezas","92 minutes","Action, Crime, Thriller"
1034,"Dawn of the Planet of the Apes","Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Kodi Smit-McPhee,Kirk Acevedo,Judy Greer","Matt Reeves","130 minutes","Action, Drama, Science Fiction, Thriller"
1038,"Persecuted","James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant","Daniel Lusko","91 minutes","Action, Adventure, Drama, Thriller"
1044,"The Purge: Anarchy","Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Zoe Soul","James Demonaco","103 minutes","Horror, Thriller"
1047,"Cannibal","Antonio de la Torre,MarÃÂ­a Alfonsa Rosso,Olimpia Melinte","Manuel MartÃÂ­n Cuenca","116 minutes","Thriller"
1054,"Lucy","Scarlett Johansson,Morgan Freeman,Choi Min-Sik,Analeigh Tipton,Amr Waked","Luc Besson","90 minutes","Action, Science Fiction"
1063,"Teenage Mutant Ninja Turtles","Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub","Jonathan Liebesman","101 minutes","Action, Adventure, Comedy, Fantasy, Science Fiction"
1078,"The Expendables 3","Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz","Patrick Hughes","126 minutes","Action, Adventure, Thriller"
1092,"Jackpot","Kyrre Hellum,Mads Ousdal,Henrik Mestad,Andreas Cappelen,Arthur Berning,Lena Kristin Ellingsen,Fridtjov SÃÂ¥heim","Magnus Martens","90 minutes","Action, Comedy, Crime"
1121,"How to Train Your Dragon 2","Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Christopher Mintz-Plasse,T. J. Miller,Kristen Wiig,Djimon Hounsou,Kit Harington","Dean Deblois","102 minutes","Action, Adventure, Animation"
1122,"22 Jump Street","Jonah Hill,Channing Tatum,Ice Cube,Dave Franco,Nick Offerman,Peter Stormare,Rob Riggle,Wyatt Russell,Richard Grieco,Amber Stevens,Jillian Bell,Jimmy Tatro","Phil Lord,Chris Miller","112 minutes","Action, Comedy"
1134,"The Double","Jesse Eisenberg,Mia Wasikowska,Wallace Shawn,Noah Taylor,Rade ÃÂ erbedÃÂ¾ija,Yasmin Paige,James Fox,Nathalie Cox,Phyllis Somerville,Sally Hawkins","Richard Ayoade","93 minutes","Drama"
1137,"Godzilla","Bryan Cranston,Elizabeth Olsen,Aaron Taylor-Johnson,Juliette Binoche,Sally Hawkins,David Strathairn,Ken Watanabe,Victor Rasuk,Brian Markinson,Al Sapienza,Patrick Sabongui,Yuki Mortia","Gareth Edwards","123 minutes","Horror, Science Fiction"
1142,"Wolf Creek 2","John Jarratt,Ryan Corr,Shannon Ashlyn,Phillipe Klaus,Gerard Kennedy,Annie Byron","Greg Mclean","106 minutes","Horror, Thriller"
1159,"Brick Mansions","Paul Walker,David Belle,RZA,Robert Maillet,Carlo Rota,Catalina Denis,Ayisha Issa","Camille Delamarre","90 minutes","Action, Crime"
1168,"The Amazing Spider-Man 2","Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak","Marc Webb","142 minutes","Action, Adventure, Fantasy"
1171,"The Protector 2","Tony Jaa,RZA,Petchtai Wongkamlao,JeeJa Yanin,Marrese Crump,Yayaying Rhatha Phongam","Prachya Pinkaew","104 minutes","Action"
1189,"Rigor Mortis","Chin Siu-Ho,Anthony Chan,Kara Hui,Richard Ng,Hoi-Pang Lo,Hee Ching Paw","Juno Mak","105 minutes","Action, Drama, Horror"
1220,"The Raid 2","Iko Uwais,Julie Estelle,Arifin Putra,Tio Pakusodewo,Oka Antara,Ryuhei Matsuda,Ken'ichi EndÃÂ´","Gareth Evans","","Action, Crime, Thriller"
1227,"Noah","Russell Crowe,Jennifer Connelly,Emma Watson,Logan Lerman,Douglas Booth,Anthony Hopkins,Ray Winstone,Kevin Durand","Darren Aronofsky","","Action, Drama, Fantasy"
1229,"Blood Ties","Mila Kunis,Zoe Saldana,Marion Cotillard,Clive Owen,James Caan,Lili Taylor,Billy Crudup","Guillaume Canet","144 minutes","Crime, Drama, Thriller"
1232,"Afflicted","Baya Rehaz,Derek Lee,Clif Prowse","Clif Prowse,Derek Lee","85 minutes","Action, Thriller"
1238,"Non-Stop","Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Anson Mount,Lupita Nyong'o,Corey Stoll,Linus Roache,Jon Abrahams","Jaume Collet-Serra","106 minutes","Action, Mystery, Thriller"
1240,"Stalingrad","Mariya Smolnikova,Yanina Studilina,Pyotr Fyodorov,Thomas Kretschmann,Philippe Reinhardt,Sergey Bondarchuk,Dmitriy Lysenkov","Fedor Bondarchuk","135 minutes","Action, Drama, War"
1244,"Gulaab Gang","Madhuri Dixit,Juhi Chawla,Priyanka Bose","Soumik Sen","139 minutes","Action, Drama"
1245,"War of the Worlds: Goliath","Beau Billingslea,Jim Byrnes,Elizabeth Gracen,Adrian Paul,James Arnold Taylor","Joe Pearson","85 minutes","Action, Adventure, Animation"
1251,"Special ID","Donnie Yen,Jing Tian,Andy On,Collin Chou,Ronald Cheng,Pau Hei-Ching,Ying Zhi-Gang","Clarence Fok Yiu-leung","98 minutes","Action, Adventure, Crime"
1255,"300: Rise of an Empire","Lena Headey,Sullivan Stapleton,Eva Green,Jack O'Connell,Rodrigo Santoro,David Wenham,Callan Mulvey,Andrew Tiernan,Ashraf Barhom,Andrew Pleavin","Noam Murro","","Action"
1271,"Need for Speed","Aaron Paul,Dominic Cooper,Imogen Poots,Scott Mescudi,Rami Malek,RamÃÂ³n RodrÃÂ­guez,Harrison Gilbertson,Dakota Johnson,Michael Keaton","Scott Waugh","102 minutes","Action, Crime, Drama, Thriller"
1304,"The Outsider","Shannon Elizabeth,James Caan,Jason Patric,Craig Fairbrass,Melissa Ordway","Brian A Miller","94 minutes","Action, Crime, Drama"
1315,"Back in the Day","Morena Baccarin,Michael Rosenbaum,Nick Swardson,Harland Williams,Jay R. Ferguson,Sarah Colonna,Isaiah Mustafa,Kristoffer Polaha,Emma Caulfield","Michael Rosenbaum","94 minutes","Comedy"
1318,"Ride Along","Kevin Hart,Tika Sumpter,Ice Cube,Jasmine Burke,David Banner,John Leguizamo,Laurence Fishburne,Jay Pharaoh","Tim Story","","Action, Comedy"
1337,"47 Ronin","Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Rinko Kikuchi,Min Tanaka,Jin Akanishi,Masayoshi Haneda,Hiroshi Sogabe,Takato Yonemoto","Carl Rinsch","119 minutes","Action, Adventure, Drama, Fantasy"
1345,"Beyond Outrage","Takeshi Kitano,Ryo Kase,Toshiyuki Nishida,Shun Sugata,Fumiyo Kohinata,Hideo Nakano","Takeshi Kitano","110 minutes","Action, Foreign"
1349,"RoboCop","Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Samuel L. Jackson,Jackie Earle Haley,Jennifer Ehle,Jay Baruchel","JosÃÂ© Padilha","102 minutes","Action, Crime, Science Fiction, Thriller"
1353,"Easy Money: Hard to Kill","Joel Kinnaman,Matias Varela,Dragomir Mrsic,Fares Fares,Dejan ÃÂukiÃÂ","Babak Najafi","99 minutes","Action, Crime, Drama, Thriller"
1360,"Gunday","Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan","Ali Abbas Zafar","152 minutes","Action, Crime, Drama"
1366,"3 Days to Kill","Kevin Costner,Amber Heard,Hailee Steinfeld,Connie Nielsen,Richard Sammel,TÃÂ³mas Lemarquis,Marc AndrÃÂ©oni,Eriq Ebouaney","McG","113 minutes","Action, Crime, Drama, Thriller"
